
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
